BD-10-head	BD-9-head	KD-8-head	KD-6-head	BD-10-tumor	BD-09-tumor	KD-8-tumor	KD-6-tumor
55	25	32	8	57	33	40	4
100	46	63	70	68	76	108	59
1102	885	859	1133	1683	1106	1415	1478
1144	926	894	1170	1759	1145	1468	1532
1144	926	894	1170	1759	1145	1468	1532
1818	1561	1445	1916	2859	1814	2357	2433
1818	1561	1445	1916	2859	1814	2357	2433
69	25	57	102	105	97	64	106
68	36	59	74	37	68	64	60
86	40	63	84	55	68	75	58
76	61	79	85	69	87	89	62
76	61	79	85	69	90	90	62
62	46	79	81	60	75	99	51
119	70	145	126	135	116	139	120
98	54	80	102	89	120	118	113
68	45	72	56	53	78	83	79
98	81	97	135	100	113	138	89
42	10	34	47	17	49	52	44
95	54	95	101	74	90	101	67
33	14	45	46	23	29	51	60
95	57	99	95	89	87	98	94
98	41	112	119	72	106	94	94
102	51	95	80	74	106	125	74
105	49	110	93	81	78	96	100
75	68	98	100	98	112	115	102
59	20	74	60	35	71	86	52
73	55	85	78	88	93	98	78
86	73	100	104	90	127	109	80
81	62	83	94	81	96	99	108
81	62	83	94	81	96	99	108
64	45	71	85	70	75	81	93
103	40	74	81	44	76	111	73
80	47	67	91	80	69	92	73
97	48	94	98	79	71	74	63
81	42	80	115	73	92	89	65
68	58	65	93	73	63	95	61
95	59	84	125	91	91	124	91
107	39	96	108	83	93	84	88
69	32	79	83	50	79	92	69
161	82	129	102	121	130	140	108
95	90	116	97	125	105	108	87
49	23	52	86	37	65	78	86
83	50	100	135	112	116	116	96
32	19	35	39	30	51	47	36
76	37	70	76	68	89	115	69
71	46	59	73	69	72	92	72
74	59	74	81	70	92	101	74
53	20	48	75	31	79	79	46
52	36	69	74	53	63	103	82
161	63	163	157	103	161	160	147
95	68	73	83	73	87	88	78
18	14	42	72	19	45	62	63
73	64	98	108	93	124	111	111
97	87	146	170	105	125	166	137
24	19	20	13	31	55	19	13
38	21	53	43	46	47	85	74
72	47	96	89	89	110	102	86
85	56	86	79	81	82	80	82
85	56	86	79	81	82	80	82
144	49	131	103	72	97	104	117
70	39	70	88	60	97	90	71
57	22	40	58	21	43	67	47
54	37	74	78	46	85	69	71
54	66	101	89	89	79	107	84
82	73	79	96	109	100	71	81
82	73	79	96	109	100	71	81
30	23	27	32	35	47	48	52
58	37	49	55	64	66	79	69
36	30	35	39	42	47	51	45
73	33	63	80	46	73	79	55
42	18	53	68	41	43	77	69
69	32	60	62	66	76	84	52
156	60	95	111	121	191	99	104
83	33	83	72	74	107	62	92
131	57	118	110	106	160	95	108
131	57	118	110	106	160	95	108
179	99	215	149	175	157	147	150
76	26	69	66	64	73	77	80
76	26	68	66	64	73	77	80
85	59	69	87	98	82	121	81
85	59	69	87	98	82	121	81
93	40	101	134	123	78	109	82
93	40	101	134	123	78	109	82
60	42	51	53	84	82	58	40
18	6	13	31	13	23	36	29
18	6	13	31	13	23	36	29
44	19	32	40	42	39	46	43
121	57	119	138	106	124	147	122
68	34	53	66	45	70	97	54
107	68	89	87	86	133	119	72
121	86	125	149	127	129	118	95
114	98	143	119	97	114	150	114
87	44	67	89	93	102	119	62
77	51	92	66	61	90	76	73
77	37	68	91	78	81	89	81
77	37	68	91	78	81	89	81
112	52	79	112	83	93	114	93
91	48	61	93	75	88	104	102
105	59	86	128	96	107	120	98
49	18	50	47	36	43	57	45
60	47	96	96	71	69	86	78
90	42	43	105	77	103	77	93
82	51	86	90	58	116	99	79
109	71	109	53	24	46	73	13
17	11	25	42	10	27	32	46
115	77	91	111	100	104	134	103
115	77	91	111	100	104	134	103
82	29	73	100	77	90	82	86
21	8	27	35	14	21	27	26
67	28	50	113	51	73	99	85
84	61	97	110	89	71	85	58
33	22	40	37	30	53	49	45
33	22	40	37	30	53	49	45
109	73	133	122	88	99	100	110
10	15	10	23	10	14	20	22
25	19	28	43	40	30	50	36
110	62	80	115	81	89	117	110
115	72	88	77	117	120	129	61
61	36	53	66	50	48	82	64
25	20	27	34	22	17	34	32
25	20	27	34	21	17	34	32
100	62	96	87	91	98	92	52
49	57	44	71	69	72	84	67
51	37	61	55	48	73	65	70
51	37	61	55	48	73	65	70
20	22	26	24	18	37	35	39
14	14	18	23	10	24	28	27
48	32	44	57	36	32	71	49
65	29	65	70	47	79	94	66
39	21	44	50	44	39	33	37
128	91	131	143	178	140	162	168
73	56	85	84	110	99	107	120
66	50	59	89	82	83	128	111
74	42	76	60	71	59	97	72
77	34	68	75	71	81	94	89
42	45	51	80	75	45	80	92
17	25	32	62	37	35	60	77
41	23	64	49	32	65	64	54
69	34	40	106	47	56	81	68
40	18	51	57	51	50	54	62
118	64	114	95	126	135	99	124
66	39	60	74	45	55	55	53
69	23	62	62	41	66	82	43
47	12	46	56	30	46	61	46
110	53	116	78	88	81	77	85
128	71	104	96	98	99	104	70
54	31	45	66	40	47	46	41
48	22	40	30	30	46	56	30
37	18	24	62	34	41	59	48
82	30	54	78	39	59	62	64
61	47	39	82	49	47	100	59
69	43	79	65	66	100	103	61
117	58	102	107	76	120	93	76
97	61	91	76	97	89	97	70
60	53	87	76	78	71	70	82
99	45	87	57	64	92	96	32
52	36	38	49	70	47	75	60
108	54	79	100	76	87	114	99
108	54	79	100	76	87	111	96
113	60	79	103	83	101	111	96
114	60	79	103	88	103	111	96
114	60	79	103	88	103	111	96
114	60	79	103	88	104	111	96
74	36	51	130	62	82	89	129
81	36	53	178	64	82	96	175
103	60	61	127	97	94	103	84
33	14	25	53	15	33	36	21
55	25	35	38	29	63	74	39
44	28	57	66	74	58	86	71
39	24	48	66	72	58	81	71
63	43	57	65	65	62	75	63
77	33	38	69	49	66	64	82
126	19	64	78	56	74	78	85
59	33	61	96	49	61	90	69
90	54	89	69	75	99	73	86
104	66	100	110	131	117	112	123
72	56	106	99	83	89	123	98
90	63	106	101	107	112	141	105
22	21	16	37	22	21	30	44
24	24	22	58	38	30	44	59
22	18	28	53	40	35	54	61
24	9	22	22	31	15	34	40
108	79	66	122	125	106	86	83
33	19	42	71	37	30	46	61
48	23	42	78	48	45	53	84
79	59	87	96	124	101	104	103
164	117	164	172	196	162	162	147
142	88	129	86	135	135	162	78
64	48	53	146	64	56	92	103
81	55	81	139	74	77	107	111
60	31	66	55	47	59	70	34
91	35	91	85	72	76	92	78
100	38	61	73	93	101	77	89
118	38	71	92	107	110	90	95
136	71	133	142	152	166	184	112
40	28	57	37	34	64	53	42
57	48	68	103	76	71	78	64
167	94	151	158	119	169	144	147
181	92	161	183	147	163	182	143
181	92	161	183	147	163	182	143
36	28	39	44	37	49	57	68
94	43	77	128	81	87	83	57
94	43	77	128	81	87	83	57
55	22	65	60	52	70	94	63
55	22	65	60	52	70	94	63
95	27	74	75	71	97	96	67
104	51	77	57	59	111	134	75
64	21	48	73	49	78	82	76
32	7	14	101	31	15	24	88
27	5	14	89	29	15	18	76
19	3	4	16	4	8	14	5
250	163	205	190	241	232	236	182
146	86	131	131	125	167	152	91
18	11	18	37	16	20	23	26
182	91	140	141	157	149	147	96
156	75	132	128	135	167	153	90
14	9	6	12	5	8	12	10
98	59	91	98	99	119	126	92
133	66	93	148	96	107	128	109
139	74	106	149	109	123	140	125
47	28	57	51	56	47	40	40
46	24	57	50	56	47	40	40
73	31	41	81	54	77	78	77
64	25	50	38	52	67	57	36
12	7	15	13	19	13	28	19
12	7	15	13	19	13	28	19
45	22	54	73	62	51	86	74
107	45	56	85	68	62	96	81
109	70	95	115	92	108	116	106
90	37	91	41	85	81	87	25
22	11	24	34	30	17	55	55
69	15	65	55	48	84	116	73
276	111	191	198	223	248	263	207
